City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Wewak,PG,2022-01-31 23:33:22,-3.5534,143.6268,78.84,80,100,3.78
128,Vila Franca Do Campo,PT,2022-01-31 23:33:22,37.7167,-25.4333,60.19,82,68,14.61
129,Sar-E Pul,AF,2022-01-31 23:33:22,35.8333,66.1667,29.07,42,0,8.93
130,Leningradskiy,RU,2022-01-31 23:33:23,69.3833,178.4167,-16.37,95,42,9.53
131,Sulangan,PH,2022-01-31 23:33:23,11.1373,123.7228,80.26,79,46,11.03
132,Sola,VU,2022-01-31 23:33:23,-13.8833,167.55,78.19,89,100,21.16
133,Bud,US,2022-01-31 23:33:24,39.447,-86.1758,37.49,68,68,7.09
134,Erzin,TR,2022-01-31 23:33:24,36.9559,36.2,43.32,81,94,5.08
135,Mutata,CO,2022-01-31 23:33:24,7.2441,-76.4356,75.07,91,71,1.61
136,Krasnoselkup,RU,2022-01-31 23:33:25,65.7,82.4667,7.99,96,100,9.37
137,Coihaique,CL,2022-01-31 23:33:25,-45.5752,-72.0662,59.61,63,75,8.05
138,Sao Joao Da Barra,BR,2022-01-31 23:33:25,-21.6403,-41.0511,78.89,88,98,5.03
139,Valenca,BR,2022-01-31 23:34:26,-13.3703,-39.0731,76.33,91,2,2.28
140,Verkhnevilyuysk,RU,2022-01-31 23:34:26,63.4453,120.3167,-30.78,100,96,3.49
141,Faya,SA,2022-01-31 23:34:27,18.3851,42.4509,53.71,82,4,6.17
142,Verkhoyansk,RU,2022-01-31 23:34:27,67.5447,133.385,-29.11,99,100,1.23
143,Kruisfontein,ZA,2022-01-31 23:31:04,-34.0033,24.7314,70.88,97,100,4.0
144,Baijiantan,CN,2022-01-31 23:34:28,45.6333,85.1833,1.27,95,61,3.13
145,Belmonte,BR,2022-01-31 23:34:28,-15.8631,-38.8828,81.1,84,28,9.17
146,Benghazi,LY,2022-01-31 23:34:28,32.1167,20.0667,57.22,66,23,18.23
147,Perth,AU,2022-01-31 23:30:15,-31.9333,115.8333,67.08,59,20,25.32
148,Fairbanks,US,2022-01-31 23:30:00,64.8378,-147.7164,-2.07,72,0,0.0
149,Kirkwall,GB,2022-01-31 23:34:29,58.9848,-2.9587,42.85,93,100,20.71
150,Micheweni,TZ,2022-01-31 23:34:29,-4.9667,39.8333,78.37,79,49,6.06
151,Portland,US,2022-01-31 23:32:36,45.5234,-122.6762,48.69,80,100,1.01
152,Bethel,US,2022-01-31 23:34:30,41.3712,-73.414,25.66,92,56,1.03
153,Port Hardy,CA,2022-01-31 23:34:30,50.6996,-127.4199,46.76,87,75,3.44
154,Kloulklubed,PW,2022-01-31 23:34:30,7.0419,134.2556,81.1,73,100,18.61
155,Airai,TL,2022-01-31 23:34:31,-8.9266,125.4092,67.21,69,78,5.61
156,Tual,ID,2022-01-31 23:34:31,-5.6667,132.75,83.95,74,100,20.2
157,Borovoy,RU,2022-01-31 23:34:32,55.4333,86.0833,6.08,85,100,4.47
158,Khandyga,RU,2022-01-31 23:34:32,62.6667,135.6,-34.55,100,89,2.01
159,San Cristobal,VE,2022-01-31 23:31:28,7.7669,-72.225,75.38,81,81,2.55
160,Port Lincoln,AU,2022-01-31 23:34:33,-34.7333,135.8667,64.87,64,72,21.72
161,Terney,RU,2022-01-31 23:34:33,45.0503,136.6092,7.9,74,2,12.33
162,Milkovo,RU,2022-01-31 23:34:33,54.7167,158.6167,21.31,89,100,11.9
163,Lazaro Cardenas,MX,2022-01-31 23:32:54,17.9583,-102.2,79.54,61,0,8.52
164,Shihezi,CN,2022-01-31 23:34:34,44.3,86.0333,0.1,93,62,3.06
165,Kumluca,TR,2022-01-31 23:34:34,36.3703,30.2869,42.67,65,14,5.88
166,Alofi,NU,2022-01-31 23:34:15,-19.0595,-169.9187,78.69,83,75,9.22
167,Saint-Augustin,CA,2022-01-31 23:34:35,51.226,-58.6502,0.79,97,76,5.7
168,Chernyshevskiy,RU,2022-01-31 23:34:35,63.0128,112.4714,-22.16,100,89,1.88
169,Cherskiy,RU,2022-01-31 23:34:36,68.75,161.3,-8.46,90,100,4.03
170,Los Alamos,US,2022-01-31 23:32:20,35.8881,-106.307,47.66,26,0,4.61
171,Praya,CV,2022-01-31 23:34:26,14.9215,-23.5087,70.34,88,0,13.8
172,Sembakung,ID,2022-01-31 23:34:36,3.8167,117.25,75.0,96,84,1.77
173,Itaituba,BR,2022-01-31 23:34:37,-4.2761,-55.9836,74.08,96,98,1.23
174,Dingle,PH,2022-01-31 23:32:42,10.9995,122.6711,77.59,88,100,9.06
175,Nagato,JP,2022-01-31 23:34:37,34.3833,131.2,44.55,60,87,23.02
176,Camacha,PT,2022-01-31 23:34:38,33.0833,-16.3333,62.53,82,20,23.02
177,Clyde River,CA,2022-01-31 23:34:38,70.4692,-68.5914,-34.37,67,75,6.91
178,Bengkulu,ID,2022-01-31 23:34:38,-3.8004,102.2655,75.94,85,100,3.42
179,Kautokeino,NO,2022-01-31 23:34:39,69.0125,23.0412,-13.31,100,91,2.93
180,Upernavik,GL,2022-01-31 23:34:39,72.7868,-56.1549,-19.12,99,94,6.87
181,Yershichi,RU,2022-01-31 23:34:39,53.6725,32.7542,24.33,96,100,7.72
182,Bairiki,KI,2022-01-31 23:34:40,1.3292,172.9752,86.0,74,20,12.66
183,Cao Bang,VN,2022-01-31 23:34:40,22.6667,106.25,49.41,92,100,1.36
184,Butaritari,KI,2022-01-31 23:35:41,3.0707,172.7902,81.43,78,93,12.08
185,Kahului,US,2022-01-31 23:33:04,20.8947,-156.47,79.86,68,40,16.11
186,Bubaque,GW,2022-01-31 23:35:41,11.2833,-15.8333,77.43,67,92,14.52
187,Loandjili,CG,2022-01-31 23:33:40,-4.7561,11.8578,78.91,89,75,4.61
188,Tura,IN,2022-01-31 23:35:42,25.5198,90.2201,56.48,59,42,4.54
189,Pitimbu,BR,2022-01-31 23:35:42,-7.4706,-34.8086,79.39,77,21,8.88
190,Valparaiso,CL,2022-01-31 23:35:43,-33.0393,-71.6273,67.48,77,0,6.91
191,Trabzon,TR,2022-01-31 23:35:43,40.9167,39.8333,37.49,93,75,8.05
192,Te Anau,NZ,2022-01-31 23:35:43,-45.4167,167.7167,71.74,44,89,2.46
193,Koumac,NC,2022-01-31 23:35:44,-20.5667,164.2833,84.24,64,100,8.03
194,Jumla,NP,2022-01-31 23:35:44,29.2747,82.1838,30.49,65,17,3.49
195,Larimna,GR,2022-01-31 23:35:45,38.5667,23.2833,53.92,83,100,4.99
196,Chuy,UY,2022-01-31 23:35:45,-33.6971,-53.4616,63.9,63,28,10.04
197,Rio Casca,BR,2022-01-31 23:35:45,-20.2261,-42.6508,73.8,91,100,1.1
198,Naze,JP,2022-01-31 23:32:41,28.3667,129.4833,50.92,61,55,5.84
199,Loano,IT,2022-01-31 23:35:46,44.133,8.2513,53.31,27,0,5.99
200,Payakumbuh,ID,2022-01-31 23:35:46,-0.2202,100.6308,69.21,95,54,1.23
201,Ilembula,TZ,2022-01-31 23:35:46,-8.9,34.5833,61.27,96,100,1.36
202,Hovd,MN,2022-01-31 23:35:47,48.0056,91.6419,-13.43,81,32,1.25
203,Kontagora,NG,2022-01-31 23:35:48,10.3999,5.4695,71.44,13,79,8.08
204,Rockland,US,2022-01-31 23:31:01,41.1668,-74.0496,27.48,63,55,1.07
205,Namwala,ZM,2022-01-31 23:35:48,-15.7504,26.4384,64.54,98,80,4.5
206,Pringsewu,ID,2022-01-31 23:35:48,-5.3582,104.9744,74.25,93,100,1.48
207,Portobelo,PA,2022-01-31 23:35:49,9.55,-79.65,81.01,81,61,12.24
208,Chokurdakh,RU,2022-01-31 23:35:49,70.6333,147.9167,-12.89,95,100,1.86
209,Bambous Virieux,MU,2022-01-31 23:35:50,-20.3428,57.7575,80.22,78,75,14.97
210,Chenzhou,CN,2022-01-31 23:35:50,25.8,113.0333,36.46,99,100,2.35
211,Buarcos,PT,2022-01-31 23:35:50,40.166,-8.8768,43.79,66,0,6.4
212,Marovoay,MG,2022-01-31 23:35:51,-16.1,46.6333,78.94,91,52,3.65
213,Longyearbyen,SJ,2022-01-31 23:35:51,78.2186,15.6401,12.04,67,20,9.22
214,Lebu,CL,2022-01-31 23:35:52,-37.6167,-73.65,58.3,75,0,17.43
215,Bonthe,SL,2022-01-31 23:35:52,7.5264,-12.505,77.07,91,33,5.84
216,Wuzhou,CN,2022-01-31 23:35:52,23.4833,111.3167,45.27,92,100,2.04
217,Carnarvon,AU,2022-01-31 23:35:53,-24.8667,113.6333,78.87,73,0,10.36
218,Tabuny,RU,2022-01-31 23:35:53,52.7773,78.7896,6.55,97,87,7.76
219,Karangasem,ID,2022-01-31 23:35:54,-8.45,115.6167,79.68,74,93,1.41
220,Vanimo,PG,2022-01-31 23:33:33,-2.6741,141.3028,80.53,71,100,5.41
221,Coahuayana,MX,2022-01-31 23:35:54,18.7333,-103.6833,87.28,61,0,5.44
222,San Juan Nepomuceno,CO,2022-01-31 23:35:55,9.9516,-75.082,77.54,65,54,9.95
223,Straelen,DE,2022-01-31 23:35:55,51.45,6.2667,40.14,83,0,6.91
224,Mackay,AU,2022-01-31 23:31:56,-21.15,149.2,88.68,70,70,3.44
225,Lompoc,US,2022-01-31 23:35:37,34.6391,-120.4579,65.21,72,1,9.22
226,Shenjiamen,CN,2022-01-31 23:35:56,29.9576,122.298,43.2,65,97,9.28
227,Champerico,GT,2022-01-31 23:35:56,14.3,-91.9167,84.74,67,7,7.38
228,Hambantota,LK,2022-01-31 23:33:36,6.1241,81.1185,74.82,81,4,13.87
229,Troitsko-Pechorsk,RU,2022-01-31 23:36:57,62.7084,56.1964,-10.48,100,87,2.06
230,Abancay,PE,2022-01-31 23:36:57,-13.6339,-72.8814,59.99,91,100,3.62
231,Ejido,VE,2022-01-31 23:36:57,8.5514,-71.2375,68.77,88,90,1.19
232,Rajpipla,IN,2022-01-31 23:36:58,21.8667,73.5,64.11,54,0,2.42
233,Plettenberg Bay,ZA,2022-01-31 23:36:58,-34.0527,23.3716,74.26,71,98,2.64
234,Burdur,TR,2022-01-31 23:36:59,37.7203,30.2908,23.7,93,40,5.75
235,Liepaja,LV,2022-01-31 23:36:59,56.5419,21.0367,30.25,80,100,5.75
236,Wenling,CN,2022-01-31 23:37:00,28.3669,121.36,44.91,79,100,11.05
237,Viransehir,TR,2022-01-31 23:37:00,37.2353,39.7631,38.12,80,100,5.95
238,Bajil,YE,2022-01-31 23:37:00,15.0584,43.2851,74.95,74,12,3.69
239,Paamiut,GL,2022-01-31 23:37:01,61.994,-49.6678,21.16,81,100,15.64
240,Ferrol,ES,2022-01-31 23:37:01,43.4832,-8.2369,52.27,79,9,13.02
241,Dunedin,NZ,2022-01-31 23:32:27,-45.8742,170.5036,65.8,82,80,15.01
242,Kuminskiy,RU,2022-01-31 23:37:01,58.6667,66.5667,-6.65,100,91,2.86
243,Kuala Terengganu,MY,2022-01-31 23:37:02,5.3302,103.1408,75.15,94,40,2.3
244,Port Elizabeth,ZA,2022-01-31 23:37:02,-33.918,25.5701,73.69,94,100,9.22
245,San Quintin,MX,2022-01-31 23:32:58,30.4833,-115.95,61.75,63,82,11.03
246,Luebo,CD,2022-01-31 23:37:03,-5.35,21.4167,69.89,96,100,2.3
247,Amarante Do Maranhao,BR,2022-01-31 23:37:03,-5.5667,-46.7422,71.08,97,86,2.35
248,Pekan,MY,2022-01-31 23:37:04,3.4836,103.3996,73.51,87,99,6.53
249,Banda Aceh,ID,2022-01-31 23:37:04,5.5577,95.3222,76.8,84,53,8.01
250,Uglegorsk,RU,2022-01-31 23:37:05,49.0833,142.0333,13.64,88,100,17.13
251,Castro,BR,2022-01-31 23:37:05,-24.7911,-50.0119,64.31,90,9,4.18
252,Bonavista,CA,2022-01-31 23:37:06,48.6499,-53.1147,33.12,69,62,15.41
253,Konstantinovka,RU,2022-01-31 23:37:06,49.6167,127.9833,-11.02,95,22,4.76
254,Zhigalovo,RU,2022-01-31 23:37:07,54.8097,105.1578,-21.64,100,100,0.67
255,Anan,JP,2022-01-31 23:37:07,33.9167,134.65,39.38,55,42,6.04
256,Grindavik,IS,2022-01-31 23:37:08,63.8424,-22.4338,39.67,87,40,26.46
257,Kavaratti,IN,2022-01-31 23:37:08,10.5669,72.642,80.08,73,2,11.03
258,Galesong,ID,2022-01-31 23:37:09,-5.3166,119.3661,75.22,82,93,7.81
259,Guerrero Negro,MX,2022-01-31 23:37:09,27.9769,-114.0611,65.62,49,5,11.21
260,Tommot,RU,2022-01-31 23:37:09,58.9564,126.2925,-7.64,98,100,5.57
261,Caconda,AO,2022-01-31 23:37:10,-13.7333,15.0667,59.16,81,97,4.88
262,Akyab,MM,2022-01-31 23:37:11,20.15,92.9,58.59,60,19,5.28
263,Constitucion,CL,2022-01-31 23:37:11,-35.3333,-72.4167,59.81,75,0,11.23
264,Chapais,CA,2022-01-31 23:32:46,49.7834,-74.8492,-11.42,99,83,3.04
265,Faanui,PF,2022-01-31 23:37:12,-16.4833,-151.75,81.25,72,6,21.23
266,Sistranda,NO,2022-01-31 23:37:12,63.7256,8.834,35.91,60,100,16.6
267,Ponta Do Sol,PT,2022-01-31 23:37:12,32.6667,-17.1,66.0,83,35,12.88
268,Safaga,EG,2022-01-31 23:37:13,26.7292,33.9365,58.46,52,3,8.57
269,Presidencia Roque Saenz Pena,AR,2022-01-31 23:37:13,-26.7852,-60.4388,84.47,18,28,6.22
270,Shu,KZ,2022-01-31 23:37:14,43.5983,73.7614,29.62,84,100,2.86
271,Dawson Creek,CA,2022-01-31 23:37:14,55.7666,-120.2362,-0.76,71,75,8.05
272,Majene,ID,2022-01-31 23:37:14,-3.5403,118.9707,80.2,70,98,5.08
273,Payo,ID,2022-01-31 23:37:15,-3.7508,103.6372,73.06,95,96,1.16
274,Burnie,AU,2022-01-31 23:38:15,-41.0667,145.9167,73.94,55,57,12.44
275,Roald,NO,2022-01-31 23:38:16,62.5833,6.1333,32.14,80,20,12.66
276,Kurdzhinovo,RU,2022-01-31 23:38:16,43.9884,40.9552,30.58,88,98,3.24
277,Bowen,AU,2022-01-31 23:38:16,-20.0167,148.2333,84.42,70,10,3.8
278,Tabriz,IR,2022-01-31 23:38:17,38.08,46.2919,20.66,73,99,6.91
279,Chadiza,ZM,2022-01-31 23:34:17,-14.0678,32.4392,63.12,97,10,1.88
280,Kyra,RU,2022-01-31 23:38:17,49.5776,111.9753,-12.23,94,63,4.16
281,Bjerkvik,NO,2022-01-31 23:38:18,68.5597,17.5189,19.9,67,77,7.76
282,Nakamura,JP,2022-01-31 23:38:18,32.9833,132.9333,43.74,59,17,3.53
283,Auki,SB,2022-01-31 23:38:19,-8.7676,160.7034,85.93,66,98,1.25
284,Tuxpan,MX,2022-01-31 23:38:19,19.55,-103.4,73.17,44,2,7.2
285,Cidreira,BR,2022-01-31 23:34:57,-30.1811,-50.2056,74.79,83,30,5.3
286,Najran,SA,2022-01-31 23:34:45,17.4924,44.1277,59.65,56,23,6.58
287,North Platte,US,2022-01-31 23:38:20,41.1239,-100.7654,55.99,27,1,3.0
288,Mount Isa,AU,2022-01-31 23:38:20,-20.7333,139.5,83.97,79,95,14.97
289,Havre-Saint-Pierre,CA,2022-01-31 23:38:21,50.2334,-63.5986,12.79,72,100,13.8
290,Saint-Francois,FR,2022-01-31 23:38:21,46.4154,3.9054,35.42,85,0,3.44
291,Roma,US,2022-01-31 23:34:13,43.2128,-75.4557,19.54,63,0,0.0
292,Mwinilunga,ZM,2022-01-31 23:34:17,-11.7358,24.4293,60.67,98,93,4.12
293,Nanortalik,GL,2022-01-31 23:38:21,60.1432,-45.2371,26.13,77,100,18.41
294,Arenapolis,BR,2022-01-31 23:38:22,-14.4503,-56.8461,71.19,97,100,4.81
