City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
138,Tornio,65.8481,24.1466,30.22,81,99,13.87,overcast clouds
139,North Bend,43.4065,-124.2243,48.85,100,100,0.0,mist
140,Khilok,51.3674,110.4676,-6.52,96,100,3.83,overcast clouds
141,Sur,22.5667,59.5289,71.02,51,0,4.09,clear sky
142,Cherdyn,60.403,56.4787,24.24,84,100,12.03,overcast clouds
143,Coquimbo,-29.9533,-71.3436,64.13,94,100,8.05,light intensity drizzle
144,Bathsheba,13.2167,-59.5167,83.01,54,40,23.02,scattered clouds
145,Tadepalle,16.4833,80.6,76.53,78,14,3.98,few clouds
146,Saiha,22.4833,92.9667,56.66,71,1,3.04,clear sky
147,San Rafael,-34.6177,-68.3301,86.61,25,39,18.41,scattered clouds
148,Dingle,10.9995,122.6711,76.37,79,100,10.04,overcast clouds
149,Sheridan,44.8333,-106.9173,44.78,59,75,4.61,broken clouds
150,Svetlogorsk,52.6333,29.7333,31.39,92,63,6.55,broken clouds
151,Dali,25.7,100.1833,42.37,80,2,5.61,clear sky
152,Timaru,-44.4,171.25,61.07,97,1,3.0,clear sky
153,Kuandian,40.7286,124.7847,24.01,85,11,1.66,few clouds
154,Elizabeth City,36.2946,-76.2511,57.06,57,0,5.75,clear sky
155,Saint-Augustin,51.226,-58.6502,22.53,88,100,5.61,overcast clouds
156,Grindavik,63.8424,-22.4338,32.47,69,75,17.27,broken clouds
157,Viesca,25.35,-102.8,48.56,31,100,3.53,overcast clouds
158,Bengkulu,-3.8004,102.2655,77.13,75,100,4.41,overcast clouds
159,Arlit,18.7369,7.3853,85.3,6,0,4.74,clear sky
160,Sao Filipe,14.8961,-24.4956,79.97,49,100,8.95,overcast clouds
161,Portland,45.5234,-122.6762,47.25,95,100,3.0,mist
162,Praia Da Vitoria,38.7333,-27.0667,64.65,72,20,7.49,few clouds
163,Horodyshche,49.2849,31.4451,36.0,97,99,7.52,overcast clouds
164,San Quintin,30.4833,-115.95,65.03,30,0,4.99,clear sky
165,Sitka,57.0531,-135.33,37.29,75,100,9.22,mist
166,Namie,37.4833,141.0,35.71,92,100,14.97,light snow
167,Emerald,-23.5333,148.1667,75.34,78,4,8.05,clear sky
168,Itapuranga,-15.5622,-49.9486,68.47,98,100,8.34,moderate rain
169,Abaza,52.655,90.0928,-16.44,100,100,2.59,overcast clouds
170,Pyay,18.8167,95.2167,69.85,24,7,3.71,clear sky
171,Lebu,-37.6167,-73.65,61.38,58,25,24.99,scattered clouds
172,Birao,10.2849,22.7882,91.35,9,1,6.91,clear sky
173,Nanortalik,60.1432,-45.2371,26.35,55,71,5.95,broken clouds
174,Hofn,64.2539,-15.2082,24.82,63,20,10.36,few clouds
175,Vestmannaeyjar,63.4427,-20.2734,32.99,93,75,17.27,broken clouds
176,Shinpokh,34.3292,71.1782,56.61,29,0,4.12,clear sky
177,Yarkovo,57.4028,67.0786,0.18,91,6,7.9,clear sky
178,Inhambane,-23.865,35.3833,85.98,66,20,9.22,few clouds
179,Castro,-24.7911,-50.0119,76.87,54,14,3.89,few clouds
180,Mount Isa,-20.7333,139.5,78.57,65,73,0.0,broken clouds
181,Conde,-7.2597,-34.9075,87.26,55,40,10.36,scattered clouds
